model,compute_units,mean_ms,median_ms
MobileNetV2_fp32,all,1.5252183400000003,1.501625
MobileNetV2_fp32,cpuOnly,3.3864299600000005,3.3905
MobileNetV2_fp32,cpuAndGPU,1.5128091999999997,1.509458
MobileNetV2_fp32,cpuAndNeuralEngine,4.139451640000001,4.145833
ResNet50_fp32,all,4.97812998,4.975208
ResNet50_fp32,cpuOnly,9.854612539999998,9.848166
ResNet50_fp32,cpuAndGPU,5.037108379999999,4.991625
ResNet50_fp32,cpuAndNeuralEngine,13.017902619999996,13.072667
SimpleMLP_fp32,all,0.4964733599999998,0.484875
SimpleMLP_fp32,cpuOnly,0.5827541799999999,0.584042
SimpleMLP_fp32,cpuAndGPU,0.47794326000000015,0.475625
SimpleMLP_fp32,cpuAndNeuralEngine,0.4871184000000001,0.48
DistilBERT_fp32,all,0.9504290800000003,0.713
DistilBERT_fp32,cpuOnly,0.31052003999999994,0.309459
DistilBERT_fp32,cpuAndGPU,0.8593082399999997,0.711125
DistilBERT_fp32,cpuAndNeuralEngine,0.6105148799999999,0.609917
TinyGPT_fp32,all,0.96358412,1.055125
TinyGPT_fp32,cpuOnly,0.22640822,0.22675
TinyGPT_fp32,cpuAndGPU,1.14032162,1.109667
TinyGPT_fp32,cpuAndNeuralEngine,0.6956700199999999,0.695208
