model,compute_units,mean_ms,median_ms
MobileNetV2_fp32,all,2.1358275413513184,2.0749568939208984
MobileNetV2_fp32,cpuOnly,3.733820915222168,3.7320852279663086
MobileNetV2_fp32,cpuAndGPU,2.10237979888916,2.024054527282715
MobileNetV2_fp32,cpuAndNeuralEngine,3.717782497406006,3.666996955871582
ResNet50_fp32,all,5.275900363922119,5.246996879577637
ResNet50_fp32,cpuOnly,10.294394493103027,10.275959968566895
ResNet50_fp32,cpuAndGPU,5.335071086883545,5.293011665344238
ResNet50_fp32,cpuAndNeuralEngine,10.318481922149658,10.301947593688965
SimpleMLP_fp32,all,0.5081343650817871,0.5079507827758789
SimpleMLP_fp32,cpuOnly,0.5124020576477051,0.5090236663818359
SimpleMLP_fp32,cpuAndGPU,0.5768775939941406,0.5199909210205078
SimpleMLP_fp32,cpuAndNeuralEngine,0.5088424682617188,0.5109310150146484
DistilBERT_fp32,all,0.8815646171569824,0.7669925689697266
DistilBERT_fp32,cpuOnly,0.2350926399230957,0.23305416107177734
DistilBERT_fp32,cpuAndGPU,1.1186623573303223,1.0679960250854492
DistilBERT_fp32,cpuAndNeuralEngine,0.23649930953979492,0.2340078353881836
TinyGPT_fp32,all,0.9656000137329102,0.9419918060302734
TinyGPT_fp32,cpuOnly,0.17199277877807617,0.17201900482177734
TinyGPT_fp32,cpuAndGPU,0.9990859031677246,0.9429454803466797
TinyGPT_fp32,cpuAndNeuralEngine,0.17599105834960938,0.17595291137695312
